destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Arizona,2021,7202745,6144045,759450,264948,34302,Texas,13312
Arkansas,2021,2990311,2595527,312848,76108,5828,Texas,16374
California,2021,38833197,34461724,3749371,433402,188700,Texas,33577
Colorado,2021,5757628,4794481,686892,250031,26224,Texas,29754
Connecticut,2021,3571470,3168509,279328,106618,17015,Texas,2073
Delaware,2021,994669,889174,58180,42551,4764,Texas,1300
District of Columbia ,2021,661026,527167,68606,57746,7507,Texas,1498
Florida,2021,21590684,18571567,2206566,674740,137811,Texas,28243
Georgia,2021,10688429,9243299,1107180,302512,35438,Texas,21413
Hawaii,2021,1426298,1230761,110790,71626,13121,Texas,6849
Idaho,2021,1879719,1601568,176458,96388,5305,Texas,3089
Illinois,2021,12544435,11095785,1200753,195177,52720,Texas,15480
Indiana,2021,6729771,5835956,714384,156417,23014,Texas,6591
Iowa,2021,3159672,2725417,347372,77245,9638,Texas,3903
Kansas,2021,2900594,2461533,323036,102319,13706,Texas,6016
Kentucky,2021,4460646,3878219,463451,107693,11283,Texas,6892
Louisiana,2021,4571302,3987402,483769,81944,18187,Texas,21290
Maine,2021,1360264,1203199,111418,43492,2155,Texas,876
Maryland,2021,6099715,5387234,519574,160016,32891,Texas,6974
Massachusetts,2021,6916314,6043959,663154,158311,50890,Texas,5618
Michigan,2021,9950336,8827083,950370,143042,29841,Texas,6589
Minnesota,2021,5645866,4930664,606582,93286,15334,Texas,4889
Mississippi,2021,2919574,2608484,241171,59759,10160,Texas,7027
Missouri,2021,6102443,5282198,635797,165921,18527,Texas,12919
Montana,2021,1093888,944443,100380,44531,4534,Texas,2671
Nebraska,2021,1939700,1677312,208977,43287,10124,Texas,2619
Nevada,2021,3111722,2661617,305571,132648,11886,Texas,4317
New Hampshire,2021,1377638,1223839,97263,53245,3291,Texas,1647
New Jersey,2021,9174117,8199595,723937,195828,54757,Texas,2402
New Mexico,2021,2092251,1828971,188495,68019,6766,Texas,10712
New York,2021,19626300,17583476,1666707,287249,88868,Texas,16818
North Carolina,2021,10446881,9034306,1032016,336681,43878,Texas,14240
North Dakota,2021,764638,641023,83572,37844,2199,Texas,2127
Ohio,2021,11660200,10209047,1228277,184477,38399,Texas,7248
Oklahoma,2021,3943443,3347420,475441,108288,12294,Texas,27223
Oregon,2021,4207387,3600937,458434,133935,14081,Texas,6469
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Texas,9271
Rhode Island,2021,1085539,959140,77691,43266,5442,Texas,762
South Carolina,2021,5142137,4444195,484535,196200,17207,Texas,5464
South Dakota,2021,884616,759943,95407,27528,1738,Texas,2229
Tennessee,2021,6899165,5955858,701333,220591,21383,Texas,15300
Texas,2021,29170380,25086829,3315313,591395,176843,Texas,0
Utah,2021,3295561,2817208,359628,101051,17674,Texas,6078
Vermont,2021,641007,564684,42454,31809,2060,Texas,576
Virginia,2021,8557020,7384723,855269,272693,44335,Texas,13305
Washington,2021,7657350,6474967,909338,225306,47739,Texas,10737
West Virginia,2021,1767792,1584041,137757,43801,2193,Texas,920
Wisconsin,2021,5838954,5123397,578787,122742,14028,Texas,6893
Wyoming,2021,573476,481018,63128,27281,2049,Texas,610
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Texas,1310
Alabama,2022,5022366,4397470,471530,139263,14103,Texas,10102
Alaska,2022,724196,614091,68351,36563,5191,Texas,3135
Arizona,2022,7285247,6264863,690856,282729,46799,Texas,17404
Arkansas,2022,3007872,2618120,294640,86375,8737,Texas,17105
California,2022,38629179,34335186,3515077,475803,303113,Texas,42279
Colorado,2022,5781381,4834425,682450,229876,34630,Texas,25466
Connecticut,2022,3588965,3172833,245100,145315,25717,Texas,2920
Delaware,2022,1008173,899454,57963,46162,4594,Texas,692
District of Columbia ,2022,660942,515345,68363,64506,12728,Texas,2788
Florida,2022,22043900,19029143,2008758,738969,267030,Texas,38207
Georgia,2022,10791161,9348359,1054380,327795,60627,Texas,23754
Hawaii,2022,1425611,1251057,106642,56209,11703,Texas,5966
Idaho,2022,1919357,1633120,189164,87949,9124,Texas,2868
Illinois,2022,12455441,11002931,1150055,228308,74147,Texas,19949
Indiana,2022,6757160,5886762,691986,149331,29081,Texas,8276
Iowa,2022,3166734,2760076,323444,72231,10983,Texas,3856
Kansas,2022,2906619,2480630,320201,94208,11580,Texas,7767
Kentucky,2022,4462146,3892713,439944,113197,16292,Texas,7630
Louisiana,2022,4537185,4006126,435538,75330,20191,Texas,17663
Maine,2022,1372172,1230229,95823,41618,4502,Texas,861
Maryland,2022,6100234,5395850,511449,139784,53151,Texas,4917
Massachusetts,2022,6918482,6065294,606626,171077,75485,Texas,7517
Michigan,2022,9936710,8786959,949469,157955,42327,Texas,8529
Minnesota,2022,5654602,4940488,571566,117016,25532,Texas,6506
Mississippi,2022,2907327,2584891,238542,69948,13946,Texas,8312
Missouri,2022,6111432,5320580,609551,163254,18047,Texas,9168
Montana,2022,1111641,964155,96436,48165,2885,Texas,1357
Nebraska,2022,1943359,1698838,184950,49159,10412,Texas,4285
Nevada,2022,3145500,2719228,284073,127406,14793,Texas,6946
New Hampshire,2022,1384607,1243278,86815,49782,4732,Texas,1239
New Jersey,2022,9174261,8289128,630801,175023,79309,Texas,5690
New Mexico,2022,2092565,1846474,164418,72095,9578,Texas,16986
New York,2022,19474187,17446663,1588018,301461,138045,Texas,12233
North Carolina,2022,10588557,9242557,946048,341582,58370,Texas,16332
North Dakota,2022,770498,648407,82522,34536,5033,Texas,1745
Ohio,2022,11631820,10218317,1161398,200809,51296,Texas,10239
Oklahoma,2022,3974110,3396824,441285,117788,18213,Texas,26440
Oregon,2022,4201011,3590534,464369,128359,17749,Texas,3534
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Texas,8544
Rhode Island,2022,1083984,967814,67254,40311,8605,Texas,2684
South Carolina,2022,5228328,4524995,461411,219707,22215,Texas,8811
South Dakota,2022,898505,778044,85602,31300,3559,Texas,832
Tennessee,2022,6976549,6069961,649312,225969,31307,Texas,12862
Texas,2022,29671447,25416204,3349854,668338,237051,Texas,0
Utah,2022,3337151,2859230,367147,91341,19433,Texas,7070
Vermont,2022,641722,566069,45750,26151,3752,Texas,1128
Virginia,2022,8590803,7439966,821193,266970,62674,Texas,13359
Washington,2022,7710339,6572952,831247,248355,57785,Texas,19245
West Virginia,2022,1758432,1576119,136161,43493,2659,Texas,580
Wisconsin,2022,5835492,5119356,571451,120434,24251,Texas,6088
Wyoming,2022,575705,487359,57696,28948,1702,Texas,2211
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Texas,3612
Alabama,2017,4819343,4158224,535649,111803,13667,Utah,998
Alaska,2017,730874,595804,98168,30199,6703,Utah,465
Arizona,2017,6935358,5717189,911120,261727,45322,Utah,8594
Arkansas,2017,2968395,2509717,370309,79411,8958,Utah,657
California,2017,39085984,34009331,4234770,523131,318752,Utah,9925
Colorado,2017,5542282,4546729,734182,226933,34438,Utah,3417
Connecticut,2017,3556297,3136666,311726,83325,24580,Utah,149
Delaware,2017,952449,830905,78998,38532,4014,Utah,32
District of Columbia ,2017,684810,554225,64013,56231,10341,Utah,384
Florida,2017,20772371,17554348,2402381,566476,249166,Utah,6063
Georgia,2017,10299497,8760762,1202587,278889,57259,Utah,1503
Hawaii,2017,1410750,1231340,115683,46457,17270,Utah,962
Idaho,2017,1694182,1405344,210310,71899,6629,Utah,7226
Illinois,2017,12659328,11026895,1365922,195092,71419,Utah,1160
Indiana,2017,6591598,5633171,792487,142290,23650,Utah,1240
Iowa,2017,3106880,2654666,362905,77072,12237,Utah,489
Kansas,2017,2876925,2413141,366147,86154,11483,Utah,981
Kentucky,2017,4404279,3721100,563721,103985,15473,Utah,0
Louisiana,2017,4629962,4030674,513676,72836,12776,Utah,34
Maine,2017,1322591,1140136,144186,34252,4017,Utah,444
Maryland,2017,5988007,5168350,605885,165654,48118,Utah,810
Massachusetts,2017,6789798,5888011,677835,146299,77653,Utah,1335
Michigan,2017,9851330,8450559,1203536,148787,48448,Utah,1250
Minnesota,2017,5510902,4728748,643272,115623,23259,Utah,392
Mississippi,2017,2946971,2553271,313673,73549,6478,Utah,0
Missouri,2017,6039877,5108238,742205,164957,24477,Utah,760
Montana,2017,1039170,883342,116400,35456,3972,Utah,879
Nebraska,2017,1894217,1586729,243792,52507,11189,Utah,1467
Nevada,2017,2963456,2430163,383067,133074,17152,Utah,4410
New Hampshire,2017,1330742,1134244,137212,52893,6393,Utah,30
New Jersey,2017,8910191,7968039,710807,152106,79239,Utah,269
New Mexico,2017,2062628,1801560,193225,57255,10588,Utah,411
New York,2017,19638923,17553033,1655152,285252,145486,Utah,334
North Carolina,2017,10158556,8649400,1139260,313834,56062,Utah,623
North Dakota,2017,744641,609017,92436,37315,5873,Utah,247
Ohio,2017,11520109,9822847,1452745,198929,45588,Utah,2100
Oklahoma,2017,3875922,3216306,542724,101961,14931,Utah,204
Oregon,2017,4102048,3405784,520747,149513,26004,Utah,4103
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Utah,1182
Rhode Island,2017,1048549,922210,83440,36850,6049,Utah,211
South Carolina,2017,4966211,4248517,531315,166573,19806,Utah,842
South Dakota,2017,856726,723740,99781,26106,7099,Utah,170
Tennessee,2017,6642072,5675990,748912,191909,25261,Utah,652
Texas,2017,27924632,23534387,3643333,524511,222401,Utah,9131
Utah,2017,3056193,2532858,398606,99584,25145,Utah,0
Vermont,2017,619089,536390,57588,21868,3243,Utah,130
Virginia,2017,8372522,7089782,958267,250490,73983,Utah,2123
Washington,2017,7318811,6016482,978057,260787,63485,Utah,7603
West Virginia,2017,1798306,1589833,165375,40007,3091,Utah,456
Wisconsin,2017,5731549,4908638,687285,112519,23107,Utah,2141
Wyoming,2017,573483,481231,71338,18511,2403,Utah,733
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Utah,0
Alabama,2018,4832358,4173026,534914,109301,15117,Utah,79
Alaska,2018,727164,608707,81229,32099,5129,Utah,410
Arizona,2018,7090137,5887700,888452,273714,40271,Utah,5828
Arkansas,2018,2975961,2539294,354774,73179,8714,Utah,712
California,2018,39114889,34232867,4092388,501023,288611,Utah,9440
Colorado,2018,5633029,4626834,728730,239153,38312,Utah,4833
Connecticut,2018,3538203,3102312,320248,84718,30925,Utah,1305
Delaware,2018,958770,853523,67984,34451,2812,Utah,99
District of Columbia ,2018,693798,568201,68603,47555,9439,Utah,215
Florida,2018,21092877,17863603,2420485,587261,221528,Utah,3558
Georgia,2018,10410462,8909803,1174523,274273,51863,Utah,1123
Hawaii,2018,1403653,1211015,125172,54074,13392,Utah,413
Idaho,2018,1734756,1438727,209540,79765,6724,Utah,6626
Illinois,2018,12599244,11029483,1295596,206620,67545,Utah,2642
Indiana,2018,6612948,5614432,821113,145256,32147,Utah,608
Iowa,2018,3119306,2662849,371285,74199,10973,Utah,506
Kansas,2018,2874208,2392841,371025,95748,14594,Utah,1170
Kentucky,2018,4414714,3744188,547535,110456,12535,Utah,1201
Louisiana,2018,4603081,4033845,474843,81355,13038,Utah,603
Maine,2018,1324095,1143612,142453,34706,3324,Utah,142
Maryland,2018,5974521,5133916,630955,163216,46434,Utah,1852
Massachusetts,2018,6834364,5970065,653940,144042,66317,Utah,466
Michigan,2018,9891083,8562101,1144840,139276,44866,Utah,599
Minnesota,2018,5543490,4781432,635928,100270,25860,Utah,626
Mississippi,2018,2955717,2582347,297788,68000,7582,Utah,468
Missouri,2018,6053109,5161553,720626,152326,18604,Utah,2886
Montana,2018,1051757,891554,113693,43375,3135,Utah,891
Nebraska,2018,1905843,1602056,239853,54579,9355,Utah,448
Nevada,2018,3003761,2495398,366629,127362,14372,Utah,7133
New Hampshire,2018,1344750,1170412,119936,48367,6035,Utah,31
New Jersey,2018,8815804,7870909,722620,159846,62429,Utah,19
New Mexico,2018,2072546,1797834,204099,60068,10545,Utah,1199
New York,2018,19329704,17327068,1614505,254447,133684,Utah,364
North Carolina,2018,10274540,8723401,1178884,318681,53574,Utah,1735
North Dakota,2018,749825,623183,89228,33735,3679,Utah,321
Ohio,2018,11555163,9892715,1426959,198026,37463,Utah,1922
Oklahoma,2018,3895983,3226343,548493,106943,14204,Utah,1944
Oregon,2018,4152756,3438653,554097,140627,19379,Utah,2512
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Utah,2041
Rhode Island,2018,1047975,928114,78525,32841,8495,Utah,194
South Carolina,2018,5029034,4309043,511153,186505,22333,Utah,2112
South Dakota,2018,871271,740970,100177,26775,3349,Utah,76
Tennessee,2018,6692936,5706212,748791,209377,28556,Utah,1186
Texas,2018,28333482,23992374,3575604,563945,201559,Utah,6287
Utah,2018,3114717,2583764,408033,100824,22096,Utah,0
Vermont,2018,621681,542177,50818,26306,2380,Utah,329
Virginia,2018,8424340,7142767,947475,274003,60095,Utah,2847
Washington,2018,7453439,6101533,1028654,260906,62346,Utah,7466
West Virginia,2018,1787630,1585832,156420,43841,1537,Utah,111
Wisconsin,2018,5751525,4960260,659159,114613,17493,Utah,1252
Wyoming,2018,570867,479561,62957,25734,2615,Utah,911
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Utah,0
Alabama,2019,4849509,4197698,534842,104780,12189,Utah,2083
Alaska,2019,722063,609362,74375,34031,4295,Utah,1092
Arizona,2019,7200620,6038776,861935,253295,46614,Utah,8917
Arkansas,2019,2989054,2559444,361762,59723,8125,Utah,710
California,2019,39084048,34394220,3943139,480204,266485,Utah,8504
Colorado,2019,5701658,4695821,736314,240600,28923,Utah,2458
Connecticut,2019,3531986,3106754,306070,90044,29118,Utah,120
Delaware,2019,964817,843383,79186,38014,4234,Utah,75
District of Columbia ,2019,697556,563798,64893,58879,9986,Utah,0
Florida,2019,21269409,18083185,2381208,601611,203405,Utah,3433
Georgia,2019,10499808,9034705,1130068,284541,50494,Utah,1182
Hawaii,2019,1396819,1215974,116566,49708,14571,Utah,772
Idaho,2019,1764327,1478739,200377,78730,6481,Utah,7371
Illinois,2019,12536539,11014059,1274091,190627,57762,Utah,326
Indiana,2019,6656971,5735703,743092,151443,26733,Utah,490
Iowa,2019,3121385,2686528,348082,72651,14124,Utah,3
Kansas,2019,2879518,2426897,345003,94648,12970,Utah,378
Kentucky,2019,4421512,3792437,517128,100057,11890,Utah,1746
Louisiana,2019,4595111,4018892,491341,67640,17238,Utah,129
Maine,2019,1331656,1162558,128105,36129,4864,Utah,161
Maryland,2019,5979602,5224363,569388,141766,44085,Utah,1186
Massachusetts,2019,6828110,5975607,644535,144079,63889,Utah,1286
Michigan,2019,9880758,8606216,1104190,132008,38344,Utah,428
Minnesota,2019,5575235,4836702,606228,106920,25385,Utah,314
Mississippi,2019,2943737,2583691,291479,61683,6884,Utah,406
Missouri,2019,6069697,5200465,694303,152345,22584,Utah,1567
Montana,2019,1056994,882156,129779,40862,4197,Utah,1900
Nebraska,2019,1910711,1622237,234322,46064,8088,Utah,1111
Nevada,2019,3048602,2510591,384676,132950,20385,Utah,6593
New Hampshire,2019,1350155,1173997,119189,50288,6681,Utah,272
New Jersey,2019,8791672,7888800,689445,149260,64167,Utah,540
New Mexico,2019,2073628,1816418,189705,55545,11960,Utah,766
New York,2019,19240920,17213380,1638372,254806,134362,Utah,1185
North Carolina,2019,10371906,8834381,1170200,315215,52110,Utah,1125
North Dakota,2019,750501,615450,94413,36668,3970,Utah,444
Ohio,2019,11556037,9891733,1415185,205542,43577,Utah,2629
Oklahoma,2019,3907258,3282746,509137,101844,13531,Utah,155
Oregon,2019,4178578,3527178,501680,129921,19799,Utah,3684
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Utah,869
Rhode Island,2019,1050602,930406,80686,34984,4526,Utah,186
South Carolina,2019,5092727,4414770,478892,176008,23057,Utah,548
South Dakota,2019,872708,739009,102133,26934,4632,Utah,199
Tennessee,2019,6754461,5782145,755183,196765,20368,Utah,1240
Texas,2019,28642658,24347958,3517954,559661,217085,Utah,10072
Utah,2019,3162102,2661654,389057,95608,15783,Utah,0
Vermont,2019,617560,536752,57776,21212,1820,Utah,41
Virginia,2019,8439982,7201805,903735,264855,69587,Utah,1736
Washington,2019,7527366,6253469,977928,231956,64013,Utah,5440
West Virginia,2019,1773280,1563611,164739,39548,5382,Utah,0
Wisconsin,2019,5760481,5001140,634732,107973,16636,Utah,808
Wyoming,2019,572884,473128,68127,30247,1382,Utah,1746
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Utah,0
Alabama,2021,4989797,4392571,468964,115641,12621,Utah,436
Alaska,2021,723949,625088,63611,31378,3872,Utah,210
Arizona,2021,7202745,6144045,759450,264948,34302,Utah,8495
Arkansas,2021,2990311,2595527,312848,76108,5828,Utah,21
California,2021,38833197,34461724,3749371,433402,188700,Utah,6111
Colorado,2021,5757628,4794481,686892,250031,26224,Utah,5767
Connecticut,2021,3571470,3168509,279328,106618,17015,Utah,451
Delaware,2021,994669,889174,58180,42551,4764,Utah,0
District of Columbia ,2021,661026,527167,68606,57746,7507,Utah,24
Florida,2021,21590684,18571567,2206566,674740,137811,Utah,7284
Georgia,2021,10688429,9243299,1107180,302512,35438,Utah,656
Hawaii,2021,1426298,1230761,110790,71626,13121,Utah,118
Idaho,2021,1879719,1601568,176458,96388,5305,Utah,4470
Illinois,2021,12544435,11095785,1200753,195177,52720,Utah,1032
Indiana,2021,6729771,5835956,714384,156417,23014,Utah,335
Iowa,2021,3159672,2725417,347372,77245,9638,Utah,794
Kansas,2021,2900594,2461533,323036,102319,13706,Utah,713
Kentucky,2021,4460646,3878219,463451,107693,11283,Utah,460
Louisiana,2021,4571302,3987402,483769,81944,18187,Utah,305
Maine,2021,1360264,1203199,111418,43492,2155,Utah,0
Maryland,2021,6099715,5387234,519574,160016,32891,Utah,829
Massachusetts,2021,6916314,6043959,663154,158311,50890,Utah,772
Michigan,2021,9950336,8827083,950370,143042,29841,Utah,1483
Minnesota,2021,5645866,4930664,606582,93286,15334,Utah,471
Mississippi,2021,2919574,2608484,241171,59759,10160,Utah,518
Missouri,2021,6102443,5282198,635797,165921,18527,Utah,1651
Montana,2021,1093888,944443,100380,44531,4534,Utah,728
Nebraska,2021,1939700,1677312,208977,43287,10124,Utah,1047
Nevada,2021,3111722,2661617,305571,132648,11886,Utah,3461
New Hampshire,2021,1377638,1223839,97263,53245,3291,Utah,0
New Jersey,2021,9174117,8199595,723937,195828,54757,Utah,154
New Mexico,2021,2092251,1828971,188495,68019,6766,Utah,198
New York,2021,19626300,17583476,1666707,287249,88868,Utah,1633
North Carolina,2021,10446881,9034306,1032016,336681,43878,Utah,1821
North Dakota,2021,764638,641023,83572,37844,2199,Utah,141
Ohio,2021,11660200,10209047,1228277,184477,38399,Utah,1435
Oklahoma,2021,3943443,3347420,475441,108288,12294,Utah,1043
Oregon,2021,4207387,3600937,458434,133935,14081,Utah,3590
Pennsylvania,2021,12842522,11452320,1078336,261831,50035,Utah,2876
Rhode Island,2021,1085539,959140,77691,43266,5442,Utah,0
South Carolina,2021,5142137,4444195,484535,196200,17207,Utah,652
South Dakota,2021,884616,759943,95407,27528,1738,Utah,166
Tennessee,2021,6899165,5955858,701333,220591,21383,Utah,934
Texas,2021,29170380,25086829,3315313,591395,176843,Utah,6136
Utah,2021,3295561,2817208,359628,101051,17674,Utah,0
Vermont,2021,641007,564684,42454,31809,2060,Utah,229
Virginia,2021,8557020,7384723,855269,272693,44335,Utah,1261
Washington,2021,7657350,6474967,909338,225306,47739,Utah,4061
West Virginia,2021,1767792,1584041,137757,43801,2193,Utah,647
Wisconsin,2021,5838954,5123397,578787,122742,14028,Utah,618
Wyoming,2021,573476,481018,63128,27281,2049,Utah,2739
Puerto Rico,2021,3248011,3040178,177594,27380,2859,Utah,0
Alabama,2022,5022366,4397470,471530,139263,14103,Utah,577
Alaska,2022,724196,614091,68351,36563,5191,Utah,4215
Arizona,2022,7285247,6264863,690856,282729,46799,Utah,10597
Arkansas,2022,3007872,2618120,294640,86375,8737,Utah,470
California,2022,38629179,34335186,3515077,475803,303113,Utah,13149
Colorado,2022,5781381,4834425,682450,229876,34630,Utah,4877
Connecticut,2022,3588965,3172833,245100,145315,25717,Utah,347
Delaware,2022,1008173,899454,57963,46162,4594,Utah,0
District of Columbia ,2022,660942,515345,68363,64506,12728,Utah,387
Florida,2022,22043900,19029143,2008758,738969,267030,Utah,4551
Georgia,2022,10791161,9348359,1054380,327795,60627,Utah,2753
Hawaii,2022,1425611,1251057,106642,56209,11703,Utah,1141
Idaho,2022,1919357,1633120,189164,87949,9124,Utah,7812
Illinois,2022,12455441,11002931,1150055,228308,74147,Utah,349
Indiana,2022,6757160,5886762,691986,149331,29081,Utah,1655
Iowa,2022,3166734,2760076,323444,72231,10983,Utah,1250
Kansas,2022,2906619,2480630,320201,94208,11580,Utah,1366
Kentucky,2022,4462146,3892713,439944,113197,16292,Utah,1203
Louisiana,2022,4537185,4006126,435538,75330,20191,Utah,903
Maine,2022,1372172,1230229,95823,41618,4502,Utah,0
Maryland,2022,6100234,5395850,511449,139784,53151,Utah,176
Massachusetts,2022,6918482,6065294,606626,171077,75485,Utah,1491
Michigan,2022,9936710,8786959,949469,157955,42327,Utah,1855
Minnesota,2022,5654602,4940488,571566,117016,25532,Utah,563
Mississippi,2022,2907327,2584891,238542,69948,13946,Utah,63
Missouri,2022,6111432,5320580,609551,163254,18047,Utah,2206
Montana,2022,1111641,964155,96436,48165,2885,Utah,2570
Nebraska,2022,1943359,1698838,184950,49159,10412,Utah,255
Nevada,2022,3145500,2719228,284073,127406,14793,Utah,4113
New Hampshire,2022,1384607,1243278,86815,49782,4732,Utah,435
New Jersey,2022,9174261,8289128,630801,175023,79309,Utah,223
New Mexico,2022,2092565,1846474,164418,72095,9578,Utah,1959
New York,2022,19474187,17446663,1588018,301461,138045,Utah,1182
North Carolina,2022,10588557,9242557,946048,341582,58370,Utah,2942
North Dakota,2022,770498,648407,82522,34536,5033,Utah,349
Ohio,2022,11631820,10218317,1161398,200809,51296,Utah,1670
Oklahoma,2022,3974110,3396824,441285,117788,18213,Utah,1003
Oregon,2022,4201011,3590534,464369,128359,17749,Utah,2390
Pennsylvania,2022,12845436,11466446,1059216,262700,57074,Utah,293
Rhode Island,2022,1083984,967814,67254,40311,8605,Utah,618
South Carolina,2022,5228328,4524995,461411,219707,22215,Utah,1118
South Dakota,2022,898505,778044,85602,31300,3559,Utah,195
Tennessee,2022,6976549,6069961,649312,225969,31307,Utah,2567
Texas,2022,29671447,25416204,3349854,668338,237051,Utah,10887
Utah,2022,3337151,2859230,367147,91341,19433,Utah,0
Vermont,2022,641722,566069,45750,26151,3752,Utah,12
Virginia,2022,8590803,7439966,821193,266970,62674,Utah,1079
Washington,2022,7710339,6572952,831247,248355,57785,Utah,5400
West Virginia,2022,1758432,1576119,136161,43493,2659,Utah,766
Wisconsin,2022,5835492,5119356,571451,120434,24251,Utah,1300
Wyoming,2022,575705,487359,57696,28948,1702,Utah,2008
Puerto Rico,2022,3203439,3015876,156208,26989,4366,Utah,0
Alabama,2017,4819343,4158224,535649,111803,13667,Vermont,0
Alaska,2017,730874,595804,98168,30199,6703,Vermont,0
Arizona,2017,6935358,5717189,911120,261727,45322,Vermont,96
Arkansas,2017,2968395,2509717,370309,79411,8958,Vermont,0
California,2017,39085984,34009331,4234770,523131,318752,Vermont,895
Colorado,2017,5542282,4546729,734182,226933,34438,Vermont,471
Connecticut,2017,3556297,3136666,311726,83325,24580,Vermont,393
Delaware,2017,952449,830905,78998,38532,4014,Vermont,59
District of Columbia ,2017,684810,554225,64013,56231,10341,Vermont,447
Florida,2017,20772371,17554348,2402381,566476,249166,Vermont,2816
Georgia,2017,10299497,8760762,1202587,278889,57259,Vermont,38
Hawaii,2017,1410750,1231340,115683,46457,17270,Vermont,0
Idaho,2017,1694182,1405344,210310,71899,6629,Vermont,0
Illinois,2017,12659328,11026895,1365922,195092,71419,Vermont,51
Indiana,2017,6591598,5633171,792487,142290,23650,Vermont,512
Iowa,2017,3106880,2654666,362905,77072,12237,Vermont,227
Kansas,2017,2876925,2413141,366147,86154,11483,Vermont,0
Kentucky,2017,4404279,3721100,563721,103985,15473,Vermont,85
Louisiana,2017,4629962,4030674,513676,72836,12776,Vermont,0
Maine,2017,1322591,1140136,144186,34252,4017,Vermont,569
Maryland,2017,5988007,5168350,605885,165654,48118,Vermont,386
Massachusetts,2017,6789798,5888011,677835,146299,77653,Vermont,2000
Michigan,2017,9851330,8450559,1203536,148787,48448,Vermont,330
Minnesota,2017,5510902,4728748,643272,115623,23259,Vermont,46
Mississippi,2017,2946971,2553271,313673,73549,6478,Vermont,0
Missouri,2017,6039877,5108238,742205,164957,24477,Vermont,228
Montana,2017,1039170,883342,116400,35456,3972,Vermont,31
Nebraska,2017,1894217,1586729,243792,52507,11189,Vermont,13
Nevada,2017,2963456,2430163,383067,133074,17152,Vermont,237
New Hampshire,2017,1330742,1134244,137212,52893,6393,Vermont,1874
New Jersey,2017,8910191,7968039,710807,152106,79239,Vermont,274
New Mexico,2017,2062628,1801560,193225,57255,10588,Vermont,0
New York,2017,19638923,17553033,1655152,285252,145486,Vermont,2929
North Carolina,2017,10158556,8649400,1139260,313834,56062,Vermont,524
North Dakota,2017,744641,609017,92436,37315,5873,Vermont,0
Ohio,2017,11520109,9822847,1452745,198929,45588,Vermont,364
Oklahoma,2017,3875922,3216306,542724,101961,14931,Vermont,37
Oregon,2017,4102048,3405784,520747,149513,26004,Vermont,308
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Vermont,1853
Rhode Island,2017,1048549,922210,83440,36850,6049,Vermont,93
South Carolina,2017,4966211,4248517,531315,166573,19806,Vermont,14
South Dakota,2017,856726,723740,99781,26106,7099,Vermont,0
Tennessee,2017,6642072,5675990,748912,191909,25261,Vermont,235
Texas,2017,27924632,23534387,3643333,524511,222401,Vermont,662
Utah,2017,3056193,2532858,398606,99584,25145,Vermont,204
Vermont,2017,619089,536390,57588,21868,3243,Vermont,0
Virginia,2017,8372522,7089782,958267,250490,73983,Vermont,963
Washington,2017,7318811,6016482,978057,260787,63485,Vermont,503
West Virginia,2017,1798306,1589833,165375,40007,3091,Vermont,0
Wisconsin,2017,5731549,4908638,687285,112519,23107,Vermont,105
Wyoming,2017,573483,481231,71338,18511,2403,Vermont,0
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Vermont,0
Alabama,2018,4832358,4173026,534914,109301,15117,Vermont,0
Alaska,2018,727164,608707,81229,32099,5129,Vermont,5
Arizona,2018,7090137,5887700,888452,273714,40271,Vermont,37
Arkansas,2018,2975961,2539294,354774,73179,8714,Vermont,0
California,2018,39114889,34232867,4092388,501023,288611,Vermont,1641
Colorado,2018,5633029,4626834,728730,239153,38312,Vermont,1043
Connecticut,2018,3538203,3102312,320248,84718,30925,Vermont,595
Delaware,2018,958770,853523,67984,34451,2812,Vermont,305
District of Columbia ,2018,693798,568201,68603,47555,9439,Vermont,213
Florida,2018,21092877,17863603,2420485,587261,221528,Vermont,1723
Georgia,2018,10410462,8909803,1174523,274273,51863,Vermont,431
Hawaii,2018,1403653,1211015,125172,54074,13392,Vermont,0
Idaho,2018,1734756,1438727,209540,79765,6724,Vermont,64
Illinois,2018,12599244,11029483,1295596,206620,67545,Vermont,76
Indiana,2018,6612948,5614432,821113,145256,32147,Vermont,30
Iowa,2018,3119306,2662849,371285,74199,10973,Vermont,0
Kansas,2018,2874208,2392841,371025,95748,14594,Vermont,0
Kentucky,2018,4414714,3744188,547535,110456,12535,Vermont,0
Louisiana,2018,4603081,4033845,474843,81355,13038,Vermont,0
Maine,2018,1324095,1143612,142453,34706,3324,Vermont,997
Maryland,2018,5974521,5133916,630955,163216,46434,Vermont,44
